Billing document,Billing Type,Calendar Day,Material group,,Plant,,Sales Office,,Sold-to party,Billing Qty:Base UoM
5010601562,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,3000,KOLKATA Zonal Office,30378,21
5010601564,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,20
5010601565,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,25781,21
5010601566,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30938,25
5010601567,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,28
5010601568,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,27536,13
5010601569,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31225,21
5010601570,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,27536,3
5010601571,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31222,16
5010601572,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,10
5010601573,ZP01,03.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,11
5010601574,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,27488,15
5010601575,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29062,21
5010601576,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30936,4
5010601577,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,21081,20
5010601578,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,27596,10
5010601579,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,28090,6
5010601580,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26997,10
5010601581,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,29579,5
5010601582,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,10
5010601583,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,16
5010601584,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30936,11
5010601585,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30754,21
5010601586,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,21
5010601587,ZP01,03.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,4
5010601589,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,16
5010601590,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,27933,20
5010601591,ZP01,04.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,27389,10
5010601592,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,27389,6
5010601593,ZP01,04.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1200,JAIPUR Zonal Office,20234,15
5010601594,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601595,ZP01,04.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,29477,21
5010601596,ZP01,04.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,29477,21
5010601597,ZP01,04.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1200,JAIPUR Zonal Office,20234,15
5010601598,ZP01,04.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1200,JAIPUR Zonal Office,20024,15
5010601600,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601601,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601602,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601603,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,16
5010601604,ZP01,04.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28000,16
5010601605,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601606,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601607,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601608,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601609,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601610,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601611,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601612,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601613,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010601614,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601615,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601616,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601617,ZP01,04.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,24922,16
5010601618,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601619,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601626,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601654,ZP13,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010601671,ZP01,04.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30181,21
5010601673,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29997,16
5010601677,ZP01,04.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29062,21
5010601678,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,31582,15
5010601679,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1200,JAIPUR Zonal Office,30711,15
5010601680,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1200,JAIPUR Zonal Office,30711,15
5010601681,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,14.99
5010601682,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,29885,15
5010601683,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,30004,15
5010601684,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31272,16
5010601685,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28052,8
5010601686,ZP01,04.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28052,8
5010601687,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,20
5010601688,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,31584,15
5010601689,ZP01,04.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,22961,21
5010601690,ZP01,04.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21445,21
5010601691,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21827,16
5010601692,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,20
5010601693,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,28041,15
5010601694,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31273,16
5010601695,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31254,15
5010601696,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22575,21
5010601697,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22575,7
5010601698,ZP01,04.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,4
5010601699,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,21
5010601700,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21437,16
5010601701,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30181,3.971
5010601702,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30181,7.932
5010601703,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30181,2
5010601704,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30181,2
5010601707,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31256,21
5010601708,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,30241,21
5010601709,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,31114,19
5010601710,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,27488,15
5010601711,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,31114,1
