"Material.group","Plant","Sales.Office","Billing.Qty.Base.UoM","Lower_Predicted_Value","Higher_Predicted_Value","Date"
"FG0002",5010,"1100",15,1472232.26828422,1486954.59096706,2018-01-04
"FG0002",5010,"2000",16,1551321.07240693,1566834.283131,2018-01-04
"FG0002",5010,"2000",15,1447521.2515038,1461996.46401883,2018-01-04
"FG0001",5010,"2100",21,2049320.44281232,2069813.64724045,2018-01-04
"FG0001",5010,"2100",7,596122.950168312,602084.179669995,2018-01-04
"FG0022",5010,"4200",4,241882.213091716,244301.035222633,2018-01-04
"FG0001",5010,"4200",21,2058347.08331236,2078930.55414549,2018-01-04
"FG0001",5010,"2000",16,1531670.3781739,1546987.08195564,2018-01-04
"FG0002",5010,"2100",3.971,301363.986885726,304377.626754584,2018-01-04
"FG0002",5010,"2100",7.932,712515.077483073,719640.228257904,2018-01-04
"FG0001",5010,"2100",2,77123.8456525952,77895.0841091211,2018-01-04
"FG0023",5010,"2100",2,96215.7739560008,97177.9316955608,2018-01-04
"FG0001",5010,"2000",21,2050669.48268962,2071176.17751652,2018-01-04
"FG0002",5010,"2000",21,2070320.17692265,2091023.37869188,2018-01-04
"FG0002",5010,"1000",19,1882245.05347252,1901067.50400724,2018-01-04
"FG0002",5010,"1000",15,1467045.76985995,1481716.22755855,2018-01-04
"FG0002",5010,"1000",1,13848.2772159278,13986.7599880871,2018-01-04
"FG0002",5010,"1000",5,429047.560828507,433338.036436792,2018-01-04
"FG0001",5010,"4200",21,2058347.08331236,2078930.55414549,2018-01-04
"FG0001",5010,"4200",4,293750.127958924,296687.629238513,2018-01-04
"FG0002",5010,"4000",21,2071664.95541747,2092381.60497164,2018-01-04
"FG0001",5010,"2100",16,1530321.33829661,1545624.55167957,2018-01-04
"FG0023",5010,"1000",8,739888.257608324,747287.140184408,2018-01-04
"FG0001",5010,"4000",21,2052014.26118444,2072534.40379628,2018-01-04
"FG0023",5010,"1000",12,1155087.54122089,1166638.4166331,2018-01-04
"FG0002",5010,"1300",20,1994298.7244176,2014241.71166177,2018-01-04
"FG0002",5010,"1000",10,948046.665344223,957527.131997666,2018-01-04
"FG0022",5010,"2100",21,1997452.52794512,2017427.05322457,2018-01-04
"FG0002",5010,"1000",10,948046.665344223,957527.131997666,2018-01-04
"FG0001",5010,"2100",4,284723.487458885,287570.722333474,2018-01-04
"FG0002",5010,"1000",5,429047.560828507,433338.036436792,2018-01-04
"FG0002",5010,"2100",1,-7025.28101752698,-7095.53382770225,2018-01-04
"FG0002",5010,"2100",21,2068971.13704535,2089660.84841581,2018-01-04
"FG0023",5010,"4000",21,2071106.18948784,2091817.25138272,2018-01-04
"FG0003",5010,"1400",16,1551799.37010267,1567317.3638037,2018-01-04
"FG0022",5010,"4000",21,1999981.46583873,2019981.28049712,2018-01-05
"FG0001",5010,"4200",21,2058182.20283386,2078764.0248622,2018-01-05
"FG0002",5010,"1000",20,1985879.99389717,2005738.79383614,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0001",5010,"2100",10,907357.532399237,916431.10772323,2018-01-05
"FG0001",5010,"2100",4,284558.606980383,287404.193050187,2018-01-05
"FG0001",5010,"2100",16,1530156.45781811,1545458.02239629,2018-01-05
"FG0002",5010,"2100",2,96609.6594071239,97575.7560011952,2018-01-05
"FG0003",5010,"2000",25,2480564.99441031,2505370.64435441,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0002",5010,"1300",13,1267535.09761709,1280210.44859326,2018-01-05
"FG0001",5010,"2100",4,284558.606980383,287404.193050187,2018-01-05
"FG0002",5010,"2100",5,408009.122116551,412089.213337716,2018-01-05
"FG0022",5010,"2100",10,855489.61753203,864044.51370735,2018-01-05
"FG0001",5010,"2100",2,76958.9651740938,77728.5548258348,2018-01-05
"FG0002",5010,"2000",16,1551156.19192843,1566667.75384772,2018-01-05
"FG0001",5010,"2000",21,2050504.60221112,2071009.64823323,2018-01-05
"FG0001",5010,"1100",16,1556216.51447582,1571778.67962058,2018-01-05
"FG0003",5010,"1100",8,740679.055837288,748085.846395661,2018-01-05
"FG0003",5010,"1100",7,636879.234934136,643248.027283478,2018-01-05
"FG0001",5010,"1300",15,1455484.04519035,1470038.88564225,2018-01-05
"FG0003",5010,"2000",16,1546366.60628201,1561830.27234483,2018-01-05
"FG0002",5010,"2000",16,1551156.19192843,1566667.75384772,2018-01-05
"FG0003",5010,"2000",21,2065365.71079773,2086019.3679057,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0001",5010,"2000",5,389707.467760816,393604.542438424,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0002",5010,"1300",14,1371334.91852023,1385048.26770543,2018-01-05
"FG0003",5010,"2000",21,2065365.71079773,2086019.3679057,2018-01-05
"FG0023",5010,"1400",11,1036866.20482525,1047234.8668735,2018-01-05
"FG0023",5010,"1400",5,414067.279406384,418207.952200447,2018-01-05
"FG0014",5010,"1200",12,1158567.36076577,1170153.03437343,2018-01-05
"FG0002",5010,"1200",3,224907.822175503,227156.900397258,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0002",5010,"1300",6,540936.351295084,546345.714808035,2018-01-05
"FG0002",5010,"1000",11.9,1145101.4445817,1156552.45902752,2018-01-05
"FG0023",5010,"1000",8,739723.377129823,747120.610901121,2018-01-05
"FG0023",5010,"2000",25,2484795.8141271,2509643.77226837,2018-01-05
"FG0023",5010,"1000",29.5,2971419.5265474,3001133.72181288,2018-01-05
"FG0001",5010,"2000",16,1531505.4976954,1546820.55267236,2018-01-05
"FG0023",5010,"2000",25,2484795.8141271,2509643.77226837,2018-01-05
"FG0001",5010,"2100",16,1530156.45781811,1545458.02239629,2018-01-05
"FG0001",5010,"2100",5,388358.427883521,392242.012162356,2018-01-05
"FG0003",5010,"2000",15,1442566.78537887,1456992.45323266,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0023",5010,"1300",1.98,123102.305334821,124333.32838817,2018-01-05
"FG0002",5010,"1300",3,229536.888585642,231832.257471498,2018-01-05
"FG0003",5010,"1300",16,1574144.9746801,1589886.4244269,2018-01-05
