Sold_to_party,Total_Score,customerType
24432,421,New
29672,421,New
26795,421,New
29397,421,New
24586,421,New
25565,421,New
27974,421,New
28807,421,New
26195,421,New
26372,421,New
21748,421,New
20566,421,New
25945,421,New
29265,421,New
29553,421,New
21220,421,New
28926,421,New
27740,421,New
27829,421,New
21271,421,New
28097,421,New
28195,421,New
28751,421,New
27848,421,New
21573,421,New
26581,421,New
29888,421,New
28628,421,New
26107,421,New
20635,421,New
24866,421,New
29863,421,New
29307,421,New
28942,421,New
21606,421,New
29925,421,New
28748,421,New
24956,421,New
29887,421,New
28966,421,New
21464,415,Loyal
29240,415,Loyal
25999,415,Loyal
25520,415,Loyal
29866,415,Loyal
20832,415,Loyal
23039,415,Loyal
24246,415,Loyal
29931,415,Loyal
29935,415,Loyal
27014,415,Loyal
22799,415,Loyal
26031,415,Loyal
29261,414,Potential Loyalist
26699,414,Potential Loyalist
26897,414,Potential Loyalist
29707,414,Potential Loyalist
25818,414,Potential Loyalist
29126,414,Potential Loyalist
21948,414,Potential Loyalist
21733,414,Potential Loyalist
24460,414,Potential Loyalist
22460,413,Potential Loyalist
29880,413,Potential Loyalist
28572,413,Potential Loyalist
29417,413,Potential Loyalist
28646,413,Potential Loyalist
29811,413,Potential Loyalist
20271,413,Potential Loyalist
28708,413,Potential Loyalist
28664,413,Potential Loyalist
27600,413,Potential Loyalist
26997,412,New
29886,412,New
26526,412,New
21412,412,New
25165,412,New
26917,412,New
25412,412,New
28781,412,New
29084,412,New
29351,412,New
27446,412,New
20953,412,New
25730,412,New
28056,412,New
29879,412,New
27319,412,New
28153,411,New
29305,411,New
27222,411,New
24929,411,New
29011,411,New
28051,411,New
29845,411,New
29705,411,New
29790,411,New
26256,411,New
29799,411,New
29428,411,New
28417,411,New
29727,411,New
25869,411,New
20781,411,New
27927,411,New
21053,411,New
28477,411,New
20201,411,New
29920,411,New
29898,411,New
26869,411,New
29103,411,New
28817,411,New
20666,411,New
29806,411,New
26112,411,New
24843,355,Loyal
21445,355,Loyal
27621,355,Loyal
26806,355,Loyal
29862,355,Loyal
27050,355,Loyal
22132,355,Loyal
29668,355,Loyal
28717,355,Loyal
22382,354,Loyal
27438,354,Loyal
24469,354,Loyal
28092,354,Loyal
24479,354,Loyal
29723,354,Loyal
28536,354,Loyal
26976,354,Loyal
20355,354,Loyal
24174,353,Loyal
28278,353,Loyal
27800,353,Loyal
25370,353,Loyal
23677,353,Loyal
24377,353,Loyal
26608,353,Loyal
25158,353,Loyal
29640,353,Loyal
25810,352,Loyal
20235,352,Loyal
28950,352,Loyal
29803,352,Loyal
26178,352,Loyal
24625,352,Loyal
28398,352,Loyal
29883,345,Loyal
24738,345,Loyal
29312,345,Loyal
20376,345,Loyal
29304,345,Loyal
29634,345,Loyal
28258,345,Loyal
28511,345,Loyal
27001,345,Loyal
21102,345,Loyal
29053,345,Loyal
25781,345,Loyal
29762,345,Loyal
29376,345,Loyal
26805,345,Loyal
23262,345,Loyal
22052,345,Loyal
29726,345,Loyal
21391,345,Loyal
29122,345,Loyal
21034,344,Loyal
26756,344,Loyal
27311,344,Loyal
22858,344,Loyal
20574,344,Loyal
27314,344,Loyal
28951,344,Loyal
28049,344,Loyal
26402,344,Loyal
28300,344,Loyal
28591,344,Loyal
21254,344,Loyal
26022,344,Loyal
20903,344,Loyal
21033,344,Loyal
26778,344,Loyal
23968,344,Loyal
27123,344,Loyal
25173,344,Loyal
22537,343,Loyal
21354,343,Loyal
29209,343,Loyal
26395,343,Loyal
26855,343,Loyal
25270,343,Loyal
20116,343,Loyal
29262,343,Loyal
22855,343,Loyal
28277,343,Loyal
21644,343,Loyal
23320,343,Loyal
27542,343,Loyal
26896,343,Loyal
27400,343,Loyal
22517,343,Loyal
27725,343,Loyal
26731,343,Loyal
28230,343,Loyal
29821,343,Loyal
20828,343,Loyal
28223,342,Loyal
20492,342,Loyal
21104,342,Loyal
29572,342,Loyal
27746,342,Loyal
29567,342,Loyal
22695,342,Loyal
23602,342,Loyal
26612,342,Loyal
27940,342,Loyal
28841,342,Loyal
21215,342,Loyal
25127,342,Loyal
29512,342,Loyal
29651,341,Potential Loyalist
25001,341,Potential Loyalist
