,
Calendar_Day,Net_Value
10.08.2014 Total,"79,550,534.39"
11.08.2014 Total,"61,498,689.65"
12.08.2014 Total,"134,556,833.52"
13.08.2014 Total,"168,053,681.95"
14.08.2014 Total,"129,523,566.64"
15.08.2014 Total,"154,913,709.33"
16.08.2014 Total,"50,047,475.51"
17.08.2014 Total,"37,357,336.07"
18.08.2014 Total,"7,800,903.65"
19.08.2014 Total,"40,908,515.11"
20.08.2014 Total,"127,584,315.54"
21.08.2014 Total,"176,997,062.61"
22.08.2014 Total,"130,048,459.12"
23.08.2014 Total,"111,195,087.82"
24.08.2014 Total,"62,790,507.50"
25.08.2014 Total,"46,274,499.49"
26.08.2014 Total,"145,857,092.77"
27.08.2014 Total,"133,132,970.35"
28.08.2014 Total,"207,157,595.50"
29.08.2014 Total,"182,108,971.44"
30.08.2014 Total,"114,420,784.60"
31.08.2014 Total,"69,461,133.47"
01.09.2014 Total,"2,504,604.66"
02.09.2014 Total,"143,806,712.45"
03.09.2014 Total,"182,988,745.39"
04.09.2014 Total,"146,314,912.98"
05.09.2014 Total,"158,978,293.55"
06.09.2014 Total,"125,451,264.52"
07.09.2014 Total,"103,883,443.36"
08.09.2014 Total,"38,314,611.66"
09.09.2014 Total,"176,716,684.06"
10.09.2014 Total,"104,085,597.49"
11.09.2014 Total,"86,147,769.59"
12.09.2014 Total,"166,321,577.03"
13.09.2014 Total,"115,088,795.95"
14.09.2014 Total,"62,241,284.85"
15.09.2014 Total,"40,752,355.75"
16.09.2014 Total,"142,984,975.96"
17.09.2014 Total,"75,800,074.09"
18.09.2014 Total,"85,696,389.66"
19.09.2014 Total,"111,385,206.76"
20.09.2014 Total,"94,370,441.26"
21.09.2014 Total,"38,914,432.36"
22.09.2014 Total,"32,052,062.04"
23.09.2014 Total,"134,129,015.28"
24.09.2014 Total,"90,204,860.34"
25.09.2014 Total,"145,868,458.35"
26.09.2014 Total,"137,484,196.09"
27.09.2014 Total,"158,749,166.75"
28.09.2014 Total,"147,073,153.03"
29.09.2014 Total,"76,186,446.51"
30.09.2014 Total,"162,777,436.98"
01.10.2014 Total,"16,206,968.08"
02.10.2014 Total,"151,711,863.56"
03.10.2014 Total,"95,603,310.44"
04.10.2014 Total,"39,982,161.88"
05.10.2014 Total,"58,206,825.42"
06.10.2014 Total,"13,384,508.69"
07.10.2014 Total,"78,661,689.95"
08.10.2014 Total,"190,042,695.98"
09.10.2014 Total,"121,048,859.27"
10.10.2014 Total,"146,599,527.80"
11.10.2014 Total,"94,190,487.61"
12.10.2014 Total,"69,641,483.82"
13.10.2014 Total,"75,566,167.10"
14.10.2014 Total,"118,196,359.70"
15.10.2014 Total,"96,474,030.81"
16.10.2014 Total,"111,465,626.10"
17.10.2014 Total,"181,888,727.92"
18.10.2014 Total,"149,245,878.60"
19.10.2014 Total,"110,727,936.08"
20.10.2014 Total,"30,448,327.43"
21.10.2014 Total,"56,956,209.20"
22.10.2014 Total,"85,598,098.27"
23.10.2014 Total,"3,814,745.10"
24.10.2014 Total,"9,619,473.45"
25.10.2014 Total,"7,069,957.70"
26.10.2014 Total,"50,294,474.32"
27.10.2014 Total,"49,763,351.07"
28.10.2014 Total,"174,411,566.93"
29.10.2014 Total,"225,897,935.51"
30.10.2014 Total,"153,016,860.74"
31.10.2014 Total,"115,794,239.61"
02.11.2014 Total,"77,188,919.03"
03.11.2014 Total,"69,614,391.91"
04.11.2014 Total,"110,932,075.14"
05.11.2014 Total,"44,789,402.40"
06.11.2014 Total,"44,234,409.71"
07.11.2014 Total,"121,866,173.57"
08.11.2014 Total,"94,095,467.38"
09.11.2014 Total,"99,323,165.16"
10.11.2014 Total,"57,839,235.05"
11.11.2014 Total,"89,063,796.03"
12.11.2014 Total,"48,750,106.56"
14.11.2014 Total,"194,942,364.06"
15.11.2014 Total,"160,782,108.13"
16.11.2014 Total,"125,628,685.94"
17.11.2014 Total,"50,226,177.95"
18.11.2014 Total,"131,903,111.38"
20.11.2014 Total,"115,127,206.55"
21.11.2014 Total,"192,131,773.66"
22.11.2014 Total,"201,935,961.92"
23.11.2014 Total,"124,645,188.35"
24.11.2014 Total,"82,404,388.60"
25.11.2014 Total,"168,359,827.17"
26.11.2014 Total,"106,261,447.54"
27.11.2014 Total,"186,710,121.44"
28.11.2014 Total,"141,493,725.39"
29.11.2014 Total,"101,956,824.10"
30.11.2014 Total,"33,932,226.40"
02.12.2014 Total,"74,626,948.88"
03.12.2014 Total,"11,578,697.07"
02.12.2014 Total,"566,617.24"
03.12.2014 Total,"27,558,348.69"
04.12.2014 Total,"82,753,101.68"
05.12.2014 Total,"157,044,828.70"
06.12.2014 Total,"104,859,940.28"
07.12.2014 Total,"76,414,533.55"
08.12.2014 Total,"51,897,944.18"
09.12.2014 Total,"75,341,359.09"
10.12.2014 Total,"29,203,811.98"
11.12.2014 Total,"21,778,630.02"
12.12.2014 Total,"181,931,276.09"
13.12.2014 Total,"111,525,076.16"
14.12.2014 Total,"110,538,007.14"
15.12.2014 Total,"36,607,955.64"
16.12.2014 Total,"64,195,545.01"
17.12.2014 Total,"32,119,484.09"
19.12.2014 Total,"150,385,046.15"
20.12.2014 Total,"138,196,219.20"
21.12.2014 Total,"106,022,036.68"
22.12.2014 Total,"43,190,334.43"
23.12.2014 Total,"137,147,801.77"
24.12.2014 Total,"129,818,885.73"
25.12.2014 Total,"130,536,380.75"
26.12.2014 Total,"133,376,520.17"
27.12.2014 Total,"159,511,661.58"
28.12.2014 Total,"112,102,201.28"
29.12.2014 Total,"57,160,058.39"
30.12.2014 Total,"116,185,566.31"
31.12.2014 Total,"152,469,691.73"
02.01.2015 Total,"68,277,706.08"
03.01.2015 Total,"129,546,303.46"
04.01.2015 Total,"67,159,117.54"
05.01.2015 Total,"41,725,670.75"
06.01.2015 Total,"86,057,960.77"
07.01.2015 Total,"28,347,779.15"
08.01.2015 Total,"53,361,972.82"
09.01.2015 Total,"137,415,398.50"
10.01.2015 Total,"73,972,535.29"
11.01.2015 Total,"59,528,403.78"
12.01.2015 Total,"22,441,000.90"
13.01.2015 Total,"37,223,507.52"
14.01.2015 Total,"6,616,973.33"
15.01.2015 Total,"8,731,901.65"
16.01.2015 Total,"136,137,202.35"
17.01.2015 Total,"172,824,595.01"
18.01.2015 Total,"94,471,502.98"
19.01.2015 Total,"55,096,634.20"
20.01.2015 Total,"80,954,461.11"
21.01.2015 Total,"62,354,398.78"
22.01.2015 Total,"67,986,336.47"
23.01.2015 Total,"209,958,646.90"
24.01.2015 Total,"148,546,036.93"
25.01.2015 Total,"144,940,453.90"
26.01.2015 Total,"43,270,934.19"
27.01.2015 Total,"45,434,890.74"
28.01.2015 Total,"69,399,570.88"
29.01.2015 Total,"120,758,498.20"
30.01.2015 Total,"128,750,504.64"
31.01.2015 Total,"69,003,202.54"
01.02.2015 Total,"1,434,289.36"
02.02.2015 Total,"22,107,453.96"
03.02.2015 Total,"73,551,487.77"
04.02.2015 Total,"44,979,822.75"
05.02.2015 Total,"73,002,212.71"
06.02.2015 Total,"193,989,994.51"
07.02.2015 Total,"228,772,028.68"
08.02.2015 Total,"188,616,985.44"
09.02.2015 Total,"113,737,780.70"
10.02.2015 Total,"186,931,131.30"
11.02.2015 Total,"239,162,427.87"
12.02.2015 Total,"93,430,005.75"
13.02.2015 Total,"207,288,060.70"
14.02.2015 Total,"155,015,550.34"
15.02.2015 Total,"94,497,817.38"
16.02.2015 Total,"68,346,269.17"
17.02.2015 Total,"187,799,507.58"
18.02.2015 Total,"155,486,282.13"
19.02.2015 Total,"52,201,087.16"
20.02.2015 Total,"93,055,958.54"
21.02.2015 Total,"33,849,317.02"
22.02.2015 Total,"25,739,549.45"
23.02.2015 Total,"54,271,695.17"
24.02.2015 Total,"210,363,270.57"
25.02.2015 Total,"133,235,296.49"
26.02.2015 Total,"60,466,700.22"
27.02.2015 Total,"156,588,879.64"
28.02.2015 Total,"107,430,337.56"
02.03.2015 Total,"49,544,052.29"
03.03.2015 Total,"249,347,157.80"
04.03.2015 Total,"230,447,802.24"
05.03.2015 Total,"53,423,143.23"
07.03.2015 Total,"30,879,210.28"
08.03.2015 Total,"138,733,139.86"
09.03.2015 Total,"83,200,562.19"
10.03.2015 Total,"236,493,757.61"
11.03.2015 Total,"245,380,881.30"
12.03.2015 Total,"59,012,408.68"
13.03.2015 Total,"107,348,785.11"
14.03.2015 Total,"73,855,823.48"
15.03.2015 Total,"95,069,729.41"
16.03.2015 Total,"60,477,810.77"
17.03.2015 Total,"163,028,671.66"
18.03.2015 Total,"200,771,005.33"
19.03.2015 Total,"59,424,973.03"
20.03.2015 Total,"113,881,679.26"
21.03.2015 Total,"123,939,295.87"
22.03.2015 Total,"55,303,288.18"
23.03.2015 Total,"31,036,887.76"
24.03.2015 Total,"87,089,632.30"
25.03.2015 Total,"83,076,576.76"
26.03.2015 Total,"87,289,614.72"
27.03.2015 Total,"146,962,330.18"
28.03.2015 Total,"165,290,801.00"
29.03.2015 Total,"131,826,738.91"
30.03.2015 Total,"133,600,614.27"
31.03.2015 Total,"43,519,315.33"
03.04.2015 Total,"5,444,209.21"
04.04.2015 Total,"82,065,008.07"
05.04.2015 Total,"41,841,735.30"
06.04.2015 Total,"51,173,275.54"
07.04.2015 Total,"90,014,530.33"
08.04.2015 Total,"102,607,481.34"
09.04.2015 Total,"53,359,559.51"
10.04.2015 Total,"65,224,680.56"
11.04.2015 Total,"131,236,333.66"
12.04.2015 Total,"52,025,840.27"
13.04.2015 Total,"32,118,977.74"
14.04.2015 Total,"70,759,037.09"
15.04.2015 Total,"59,783,248.62"
16.04.2015 Total,"43,369,152.32"
17.04.2015 Total,"29,582,345.65"
18.04.2015 Total,"68,432,459.61"
19.04.2015 Total,"50,242,772.15"
20.04.2015 Total,"19,474,378.86"
21.04.2015 Total,"62,336,649.04"
22.04.2015 Total,"78,466,412.91"
23.04.2015 Total,"22,133,109.57"
24.04.2015 Total,"60,160,946.21"
25.04.2015 Total,"91,218,342.30"
26.04.2015 Total,"66,523,983.67"
27.04.2015 Total,"11,196,791.80"
28.04.2015 Total,"56,200,229.42"
29.04.2015 Total,"75,997,974.50"
30.04.2015 Total,"26,651,590.62"
02.05.2015 Total,"8,753,608.19"
11.05.2015 Total,"1,841,194.80"
15.05.2015 Total,"4,910,567.66"
16.05.2015 Total,"4,927,910.32"
21.05.2015 Total,"4,924,937.95"
22.05.2015 Total,"5,042,499.66"
27.05.2015 Total,"46,538,613.80"
28.05.2015 Total,"30,416,112.54"
29.05.2015 Total,"59,175,379.43"
30.05.2015 Total,"67,649,249.40"
31.05.2015 Total,"16,648,903.18"
01.06.2015 Total,"2,352,671.80"
02.06.2015 Total,"78,178,666.18"
03.06.2015 Total,"55,081,727.12"
04.06.2015 Total,"64,661,095.89"
05.06.2015 Total,"58,567,860.76"
06.06.2015 Total,"85,318,590.87"
07.06.2015 Total,"40,471,940.76"
08.06.2015 Total,"37,425,688.39"
09.06.2015 Total,"95,049,242.96"
10.06.2015 Total,"29,695,747.70"
11.06.2015 Total,"34,540,538.42"
12.06.2015 Total,"91,090,206.32"
13.06.2015 Total,"90,677,336.79"
14.06.2015 Total,"28,032,130.28"
15.06.2015 Total,"11,289,877.36"
16.06.2015 Total,"41,593,416.42"
17.06.2015 Total,"28,490,436.94"
18.06.2015 Total,"7,954,656.67"
19.06.2015 Total,"78,682,018.74"
20.06.2015 Total,"128,718,207.29"
21.06.2015 Total,"95,284,930.51"
22.06.2015 Total,"43,073,696.99"
23.06.2015 Total,"79,992,770.48"
24.06.2015 Total,"74,697,964.69"
25.06.2015 Total,"70,780,343.75"
26.06.2015 Total,"86,205,374.05"
27.06.2015 Total,"133,544,108.37"
28.06.2015 Total,"75,199,754.74"
29.06.2015 Total,"45,105,936.30"
30.06.2015 Total,"165,327,146.54"
01.07.2015 Total,"34,416,502.39"
02.07.2015 Total,"116,376,254.53"
03.07.2015 Total,"102,102,239.46"
04.07.2015 Total,"86,636,764.86"
05.07.2015 Total,"74,349,779.65"
06.07.2015 Total,"20,325,411.74"
08.07.2015 Total,"145,775,634.62"
10.07.2015 Total,"88,234,568.71"
11.07.2015 Total,"128,063,912.08"
12.07.2015 Total,"63,369,567.59"
13.07.2015 Total,"32,661,095.21"
14.07.2015 Total,"78,150,014.75"
15.07.2015 Total,"25,942,085.33"
17.07.2015 Total,"93,007,499.34"
18.07.2015 Total,"89,994,001.80"
19.07.2015 Total,"28,660,661.74"
20.07.2015 Total,"12,340,874.94"
21.07.2015 Total,"39,460,990.19"
22.07.2015 Total,"42,663,996.29"
23.07.2015 Total,"107,849,960.79"
24.07.2015 Total,"114,072,430.10"
25.07.2015 Total,"127,840,814.71"
26.07.2015 Total,"76,922,902.89"
27.07.2015 Total,"53,417,655.53"
28.07.2015 Total,"111,594,464.70"
29.07.2015 Total,"143,322,131.43"
30.07.2015 Total,"127,047,209.67"
31.07.2015 Total,"58,523,865.29"
02.08.2015 Total,"37,206,156.54"
03.08.2015 Total,"19,027,722.58"
04.08.2015 Total,"59,182,642.43"
05.08.2015 Total,"9,102,201.48"
06.08.2015 Total,"18,740,626.42"
07.08.2015 Total,"57,935,425.91"
08.08.2015 Total,"37,990,608.20"
09.08.2015 Total,"3,751,618.24"
10.08.2015 Total,"10,417,021.24"
11.08.2015 Total,"26,730,748.80"
12.08.2015 Total,"18,183,065.91"
14.08.2015 Total,"178,068,596.64"
15.08.2015 Total,"106,518,220.35"
16.08.2015 Total,"27,425,632.85"
17.08.2015 Total,"35,095,720.61"
18.08.2015 Total,"107,174,750.13"
19.08.2015 Total,"42,090,934.72"
20.08.2015 Total,"20,564,348.09"
21.08.2015 Total,"82,164,588.39"
22.08.2015 Total,"62,908,695.57"
23.08.2015 Total,"20,983,938.81"
24.08.2015 Total,"37,289,346.38"
25.08.2015 Total,"100,996,938.18"
26.08.2015 Total,"41,367,016.04"
27.08.2015 Total,"51,547,340.74"
28.08.2015 Total,"100,550,673.07"
29.08.2015 Total,"132,404,486.24"
30.08.2015 Total,"81,597,415.55"
31.08.2015 Total,"107,487,579.09"
01.09.2015 Total,"3,044,637.03"
02.09.2015 Total,"181,658,048.22"
03.09.2015 Total,"83,104,849.47"
04.09.2015 Total,"141,525,473.02"
05.09.2015 Total,"155,811,995.38"
06.09.2015 Total,"35,043,265.77"
07.09.2015 Total,"31,256,510.22"
08.09.2015 Total,"145,412,694.08"
09.09.2015 Total,"125,284,143.79"
10.09.2015 Total,"87,531,054.57"
11.09.2015 Total,"65,215,919.73"
12.09.2015 Total,"78,266,399.69"
13.09.2015 Total,"33,212,159.77"
14.09.2015 Total,"27,236,333.10"
15.09.2015 Total,"153,175,082.81"
16.09.2015 Total,"118,351,061.78"
17.09.2015 Total,"18,326,288.79"
18.09.2015 Total,"32,241,003.82"
19.09.2015 Total,"78,368,009.89"
21.09.2015 Total,"27,175,482.10"
22.09.2015 Total,"73,092,180.21"
23.09.2015 Total,"87,477,504.44"
24.09.2015 Total,"45,991,840.48"
25.09.2015 Total,"79,644,535.82"
26.09.2015 Total,"43,421,583.20"
27.09.2015 Total,"38,947,794.61"
28.09.2015 Total,"20,934,175.06"
29.09.2015 Total,"108,063,618.22"
30.09.2015 Total,"133,267,465.87"
02.10.2015 Total,"1,496,384.50"
03.10.2015 Total,"81,737,627.42"
04.10.2015 Total,"29,419,818.83"
05.10.2015 Total,"17,199,325.44"
06.10.2015 Total,"106,185,357.75"
07.10.2015 Total,"89,264,664.99"
08.10.2015 Total,"110,882,717.55"
09.10.2015 Total,"75,397,046.91"
10.10.2015 Total,"93,378,687.97"
11.10.2015 Total,"42,559,410.65"
12.10.2015 Total,"41,687,827.98"
13.10.2015 Total,"65,676,886.51"
15.10.2015 Total,"87,106,287.09"
16.10.2015 Total,"93,576,345.65"
17.10.2015 Total,"87,041,066.91"
18.10.2015 Total,"46,951,536.22"
19.10.2015 Total,"44,771,783.80"
20.10.2015 Total,"128,237,614.57"
21.10.2015 Total,"36,868,658.24"
22.10.2015 Total,"13,064,379.23"
23.10.2015 Total,"37,343,963.21"
24.10.2015 Total,"117,400,945.93"
25.10.2015 Total,"49,609,083.79"
26.10.2015 Total,"37,086,126.87"
27.10.2015 Total,"111,057,182.86"
28.10.2015 Total,"115,157,538.11"
29.10.2015 Total,"89,561,680.59"
30.10.2015 Total,"84,837,483.00"
31.10.2015 Total,"78,647,313.95"
02.11.2015 Total,"13,865,141.87"
03.11.2015 Total,"105,144,299.95"
04.11.2015 Total,"49,578,152.26"
05.11.2015 Total,"36,531,103.98"
06.11.2015 Total,"38,767,587.27"
07.11.2015 Total,"25,789,691.66"
08.11.2015 Total,"8,421,941.81"
09.11.2015 Total,"23,431,173.22"
